they re dead .,ils sont decedes .
i m more than a friend .,je suis plus qu une amie .
we re resilient .,nous sommes endurants .
i m terrible at math .,je suis epouvantable en math .
he s good at arithmetic .,il est bon en calcul .
he is a fishmonger .,il est poissonnier .
they are very cheerful .,elles sont fort joyeuses .
you re not married are you ?,tu n es pas mariee si ?
i am divorced .,je suis divorcee .
i m glad he liked it .,je suis heureuse qu il l ait apprecie .
i m not staying here .,je ne vais pas rester ici .
she is as busy as a bee .,elle est tres occupee .
you re the same age as my girlfriend .,tu as le meme age que ma copine .
i m ok with having just one friend .,n avoir qu un ami me convient .
he is proud of being a musician .,il est fier d etre musicien .
i am sick .,je suis malade .
i m not all that drunk .,je ne suis pas saoul a ce point .
we are sure of his success .,nous sommes convaincus de son succes .
you are as tall as my sister .,tu es aussi grand que ma s ur .
i m going to buy a new car .,je compte m acheter une nouvelle voiture .
you re adorable .,vous etes adorables .
i m quite tired .,je suis assez fatiguee .
i m sorry to bother you so often .,je suis desole de t ennuyer si souvent .
she is interested in music .,elle s interesse a la musique .
you re powerless .,tu es depourvue de pouvoir .
we re survivors .,nous sommes des survivants .
you re very brave .,tu es tres brave .
you re ambitious .,vous etes ambitieuse .
he is a famous artist .,c est un artiste celebre .
he is getting better bit by bit .,il s ameliore petit a petit .
he is drinking tea .,il est en train de boire du the .
i am going to america by plane .,je vais en amerique en avion .
i m ready to throw in the towel .,je suis pret a jeter l eponge .
i am not concerned with this .,je ne suis pas concerne par ceci .
i m not happy with this situation .,je ne suis pas content de cette situation .
i m not allowed to help you .,je ne suis pas autorisee a t aider .
i m flabbergasted .,je suis abasourdi .
they are investing a lot .,ils mettent le paquet .
i m an old man .,je suis un vieil homme .
he is suspected of robbery .,il est suspecte de vol .
i m better .,je vais mieux .
we re back .,nous sommes de retour .
you re under investigation .,vous faites l objet d une enquete .
i m at home .,je suis dans la maison .
i m serious .,je suis serieux .
he s away on business .,il est parti pour affaires .
i am at the end of my patience .,ma patience est a bout .
i am hungarian .,je suis hongrois .
she s dependent on her husband .,elle depend de son epoux .
you re really a hard worker .,vous etes vraiment apre au travail .
we re safe now .,nous sommes desormais en securite .
he is an authority on the humanities .,c est une autorite en matiere d humanites .
we re ambitious .,nous sommes ambitieux .
she s missed the boat .,elle a loupe le coche .
you re very clever .,vous etes tres habile .
i m not from around here .,je ne suis pas du coin .
we re both fine .,nous allons bien tous les deux .
he is afraid of making mistakes .,il a peur de faire des erreurs .
he s under the chair .,il est sous la chaise .
we re all here .,nous sommes toutes ici .
she is a most beautiful lady .,c est une tres belle dame .
you re always saying that .,tu dis toujours ca .
he s in prison .,il se trouve en prison .
i m sick and tired of reading .,j en ai plus qu assez de lire .
she is a quiet woman .,c est une femme tranquille .
he is quick to voice his concerns .,il est prompt a exprimer ses inquietudes .
i m a little sick .,je suis un peu malade .
i m ready if you are .,je suis pret si tu l es .
you re naive .,vous etes naive .
i am divorced .,je suis divorce .
i m incredibly busy .,je suis incroyablement occupe .
i m too tired to drive .,je suis trop fatigue pour conduire .
i m going to be ready for that .,je vais etre pret pour ca .
i m breaking up with my girlfriend tonight .,je romps ce soir avec ma nana .
they re all nuts .,ils sont tous dingues .
i m dissatisfied .,je ne suis pas content .
i m going .,je me tire .
i m a photographer .,je suis photographe .
i m not really that old .,je ne suis pas vraiment aussi vieux .
you are hilarious .,que vous etes drole .
i m shy .,je suis timide .
i m stuffed .,je suis gave .
i am better .,je vais mieux .
we re all angry .,nous sommes tous en colere .
i m ruined .,je suis ruinee .
i m smarter than you .,je suis plus vive que vous .
you are so childish sometimes .,vous etes parfois si puerile .
i m not persuaded .,je ne suis pas convaincu .
he s fed up with socializing .,il en a assez des mondanites .
i m completely wrecked .,je suis completement en vrac .
she s fond of taking pictures .,elle aime prendre des photos .
you re too hard on yourself .,vous etes trop dur avec vous .
he s a sophomore .,c est un etudiant de deuxieme annee .
i m not obese .,je ne suis pas obese .
you re the best man for the job .,tu es le meilleur pour le boulot .
he s a gentleman .,c est un gentleman .
i m going to be gone soon .,je vais bientot etre parti .
you re really awesome .,tu es vraiment geniale .
i m drinking a beer right now .,je bois une biere en ce moment meme .
i m strong enough .,je suis suffisamment forte .
you re old .,vous etes vieille .
he is absent because of illness .,il est absent pour cause de maladie .
you re good .,tu es bonne .
he is lying through his teeth .,il ment comme un arracheur de dents .
we re proud of that .,nous en sommes fiers .
we re not doing this for the money .,nous ne le faisons pas pour l argent .
he is riding a bicycle .,il est a velo .
you re very stylish .,tu es tres elegant .
you re being very unfair to me .,tu deviens tres injuste envers moi .
i m too tired to think .,je suis trop fatiguee pour penser .
you are beautiful .,vous etes beau .
she is amusing to be with .,on s amuse avec elle .
she is awkward .,elle est maladroite .
he is very sensitive to cold .,il est tres sensible au froid .
he is old enough to drive a car .,il est assez age pour conduire une voiture .
he is known to everyone .,il est connu de tous .
i m letting you go .,je te vire .
you re wearing my pajamas .,tu portes mon pyjama .
he is lazy .,il est paresseux .
i m sleepy !,j ai sommeil !
you re fascinating .,vous etes fascinante .
he is my type !,il est mon genre !
they re two very different things .,ce sont deux choses absolument differentes .
she s the teacher s pet .,c est la chouchoute du prof .
he s cleaning out his closet .,il nettoie son placard .
he s working at his english .,il travaille son anglais .
we re not stupid .,nous ne sommes pas idiots .
i m looking for a sweater .,je cherche un pull over .
he is cranky .,il est excentrique .
you are not a coward .,tu n es pas un lache .
you are not at all wrong .,tu n as pas tort du tout .
i am happy to hear your voice .,je me rejouis d entendre ta voix .
you re not alone .,vous n etes pas seul .
we re not going .,nous ne nous y rendons pas .
he is on night duty tonight .,il travaille de nuit ce soir .
you re testing my patience .,tu mets ma patience a l epreuve .
you are a good person .,vous etes un chic type .
i m trying to sleep .,j essaie de dormir .
